Year,Country,Medal,count
1992,Algeria,Bronze,1
1992,Algeria,Gold,1
1992,Argentina,Bronze,2
1992,Australia,Bronze,16
1992,Australia,Gold,14
1992,Australia,Silver,27
1992,Austria,Silver,6
1992,Bahamas,Bronze,1
1992,Belgium,Bronze,2
1992,Belgium,Silver,1
1992,Brazil,Gold,13
1992,Brazil,Silver,1
1992,Bulgaria,Bronze,7
1992,Bulgaria,Gold,3
1992,Bulgaria,Silver,7
1992,Canada,Bronze,12
1992,Canada,Gold,27
1992,Canada,Silver,5
1992,China,Bronze,19
1992,China,Gold,18
1992,China,Silver,46
1992,Colombia,Bronze,1
1992,Croatia,Bronze,3
1992,Croatia,Silver,12
1992,Cuba,Bronze,14
1992,Cuba,Gold,44
1992,Cuba,Silver,13
1992,Czechoslovakia,Bronze,1
1992,Czechoslovakia,Gold,4
1992,Czechoslovakia,Silver,3
1992,Denmark,Bronze,9
1992,Denmark,Gold,3
1992,Denmark,Silver,2
1992,Estonia,Bronze,2
1992,Estonia,Gold,1
1992,Ethiopia,Bronze,2
1992,Ethiopia,Gold,1
1992,Finland,Bronze,2
1992,Finland,Gold,1
1992,Finland,Silver,4
1992,France,Bronze,43
1992,France,Gold,9
1992,France,Silver,5
1992,Germany,Bronze,60
1992,Germany,Gold,81
1992,Germany,Silver,57
1992,Ghana,Bronze,13
1992,Greece,Gold,2
1992,Hungary,Bronze,8
1992,Hungary,Gold,14
1992,Hungary,Silver,23
1992,Independent Olympic Participants (1992),Bronze,2
1992,Independent Olympic Participants (1992),Silver,1
1992,Indonesia,Bronze,1
1992,Indonesia,Gold,2
1992,Indonesia,Silver,3
1992,Iran,Bronze,2
1992,Iran,Silver,1
1992,Ireland,Gold,1
1992,Ireland,Silver,1
1992,Israel,Bronze,1
1992,Israel,Silver,1
1992,Italy,Bronze,14
1992,Italy,Gold,22
1992,Italy,Silver,10
1992,Jamaica,Bronze,1
1992,Jamaica,Silver,3
1992,Japan,Bronze,36
1992,Japan,Gold,3
1992,Japan,Silver,8
1992,Kenya,Bronze,2
1992,Kenya,Gold,2
1992,Kenya,Silver,4
1992,"Korea, North",Bronze,6
1992,"Korea, North",Gold,4
1992,"Korea, South",Bronze,16
1992,"Korea, South",Gold,28
1992,"Korea, South",Silver,5
1992,Latvia,Bronze,1
1992,Latvia,Silver,2
1992,Lithuania,Bronze,12
1992,Lithuania,Gold,1
1992,Malaysia,Bronze,2
1992,Mexico,Silver,1
1992,Mongolia,Bronze,2
1992,Morocco,Bronze,1
1992,Morocco,Gold,1
1992,Morocco,Silver,1
1992,Namibia,Silver,2
1992,Netherlands,Bronze,8
1992,Netherlands,Gold,5
1992,Netherlands,Silver,20
1992,New Zealand,Bronze,5
1992,New Zealand,Gold,1
1992,New Zealand,Silver,9
1992,Nigeria,Bronze,4
1992,Nigeria,Silver,7
1992,Norway,Bronze,1
1992,Norway,Gold,2
1992,Norway,Silver,20
1992,Pakistan,Bronze,16
1992,Peru,Silver,1
1992,Philippines,Bronze,1
1992,Poland,Bronze,19
1992,Poland,Gold,5
1992,Poland,Silver,18
1992,Puerto Rico*,Bronze,1
1992,Qatar,Bronze,1
1992,Romania,Bronze,14
1992,Romania,Gold,8
1992,Romania,Silver,31
1992,Slovenia,Bronze,6
1992,South Africa,Silver,3
1992,Spain,Bronze,2
1992,Spain,Gold,44
1992,Spain,Silver,20
1992,Suriname,Bronze,1
1992,Sweden,Bronze,7
1992,Sweden,Gold,1
1992,Sweden,Silver,27
1992,Switzerland,Gold,1
1992,Taiwan,Silver,20
1992,Thailand,Bronze,1
1992,Turkey,Bronze,2
1992,Turkey,Gold,2
1992,Turkey,Silver,2
1992,Unified team,Bronze,66
1992,Unified team,Gold,92
1992,Unified team,Silver,65
1992,United Kingdom,Bronze,39
1992,United Kingdom,Gold,8
1992,United Kingdom,Silver,3
1992,United States,Bronze,85
1992,United States,Gold,89
1992,United States,Silver,50
1996,Algeria,Bronze,1
1996,Algeria,Gold,2
1996,Argentina,Bronze,1
1996,Argentina,Silver,19
1996,Armenia,Gold,1
1996,Armenia,Silver,1
1996,Australia,Bronze,84
1996,Australia,Gold,32
1996,Australia,Silver,16
1996,Austria,Bronze,2
1996,Austria,Silver,1
1996,Azerbaijan,Silver,1
1996,Bahamas,Silver,5
1996,Belarus,Bronze,16
1996,Belarus,Gold,1
1996,Belarus,Silver,6
1996,Belgium,Bronze,2
1996,Belgium,Gold,2
1996,Belgium,Silver,2
1996,Brazil,Bronze,44
1996,Brazil,Gold,5
1996,Brazil,Silver,15
1996,Bulgaria,Bronze,6
1996,Bulgaria,Gold,3
1996,Bulgaria,Silver,12
1996,Burundi,Gold,1
1996,Canada,Bronze,12
1996,Canada,Gold,8
1996,Canada,Silver,31
1996,China,Bronze,17
1996,China,Gold,19
1996,China,Silver,74
1996,Costa Rica,Gold,1
1996,Croatia,Gold,16
1996,Croatia,Silver,13
1996,Cuba,Bronze,10
1996,Cuba,Gold,39
1996,Cuba,Silver,8
1996,Czech Republic,Bronze,4
1996,Czech Republic,Gold,4
1996,Czech Republic,Silver,5
1996,Denmark,Bronze,1
1996,Denmark,Gold,22
1996,Denmark,Silver,1
1996,Ecuador,Gold,1
1996,Ethiopia,Bronze,1
1996,Ethiopia,Gold,2
1996,Finland,Bronze,1
1996,Finland,Gold,1
1996,Finland,Silver,2
1996,France,Bronze,20
1996,France,Gold,21
1996,France,Silver,10
1996,Georgia,Bronze,2
1996,Germany,Bronze,47
1996,Germany,Gold,42
1996,Germany,Silver,35
1996,Greece,Gold,4
1996,Greece,Silver,4
1996,Hong Kong*,Gold,1
1996,Hungary,Bronze,26
1996,Hungary,Gold,8
1996,Hungary,Silver,9
1996,India,Bronze,1
1996,Indonesia,Bronze,3
1996,Indonesia,Gold,2
1996,Indonesia,Silver,1
1996,Iran,Bronze,1
1996,Iran,Gold,1
1996,Iran,Silver,1
1996,Ireland,Bronze,1
1996,Ireland,Gold,3
1996,Israel,Bronze,1
1996,Italy,Bronze,28
1996,Italy,Gold,19
1996,Italy,Silver,24
1996,Jamaica,Bronze,12
1996,Jamaica,Gold,1
1996,Jamaica,Silver,3
1996,Japan,Bronze,14
1996,Japan,Gold,3
1996,Japan,Silver,26
1996,Kazakhstan,Bronze,4
1996,Kazakhstan,Gold,3
1996,Kazakhstan,Silver,4
1996,Kenya,Bronze,3
1996,Kenya,Gold,1
1996,Kenya,Silver,4
1996,"Korea, North",Bronze,2
1996,"Korea, North",Gold,2
1996,"Korea, North",Silver,1
1996,"Korea, South",Bronze,7
1996,"Korea, South",Gold,10
1996,"Korea, South",Silver,49
1996,Latvia,Silver,1
1996,Lithuania,Bronze,12
1996,Malaysia,Bronze,1
1996,Malaysia,Silver,2
1996,Mexico,Bronze,1
1996,Moldova,Bronze,1
1996,Moldova,Silver,2
1996,Mongolia,Bronze,1
1996,Morocco,Bronze,2
1996,Mozambique,Bronze,1
1996,Namibia,Silver,2
1996,Netherlands,Bronze,26
1996,Netherlands,Gold,38
1996,Netherlands,Silver,9
1996,New Zealand,Bronze,4
1996,New Zealand,Gold,3
1996,New Zealand,Silver,2
1996,Nigeria,Bronze,3
1996,Nigeria,Gold,19
1996,Nigeria,Silver,4
1996,Norway,Bronze,20
1996,Norway,Gold,2
1996,Norway,Silver,3
1996,Philippines,Silver,1
1996,Poland,Bronze,7
1996,Poland,Gold,7
1996,Poland,Silver,7
1996,Portugal,Bronze,2
1996,Portugal,Gold,1
1996,Puerto Rico*,Bronze,1
1996,Romania,Bronze,15
1996,Romania,Gold,13
1996,Romania,Silver,10
1996,Russia,Bronze,34
1996,Russia,Gold,36
1996,Russia,Silver,45
1996,Slovakia,Bronze,1
1996,Slovakia,Gold,1
1996,Slovakia,Silver,1
1996,Slovenia,Silver,2
1996,South Africa,Bronze,1
1996,South Africa,Gold,3
1996,South Africa,Silver,1
1996,Spain,Bronze,22
1996,Spain,Gold,24
1996,Spain,Silver,21
1996,Sweden,Bronze,5
1996,Sweden,Gold,3
1996,Sweden,Silver,23
1996,Switzerland,Gold,5
1996,Switzerland,Silver,6
1996,Syria,Gold,1
1996,Taiwan,Silver,1
1996,Thailand,Bronze,1
1996,Thailand,Gold,1
1996,Tonga,Silver,1
1996,Trinidad and Tobago,Bronze,2
1996,Tunisia,Bronze,1
1996,Turkey,Bronze,1
1996,Turkey,Gold,4
1996,Turkey,Silver,1
1996,Uganda,Bronze,1
1996,Ukraine,Bronze,19
1996,Ukraine,Gold,10
1996,Ukraine,Silver,5
1996,United Kingdom,Bronze,9
1996,United Kingdom,Gold,2
1996,United Kingdom,Silver,15
1996,United States,Bronze,52
1996,United States,Gold,160
1996,United States,Silver,48
1996,Uzbekistan,Bronze,1
1996,Uzbekistan,Silver,1
1996,Yugoslavia,Bronze,13
1996,Yugoslavia,Gold,1
1996,Yugoslavia,Silver,12
1996,Zambia,Silver,1
2000,Algeria,Bronze,3
2000,Algeria,Gold,1
2000,Algeria,Silver,1
2000,Argentina,Bronze,3
2000,Argentina,Silver,17
2000,Armenia,Bronze,1
2000,Australia,Bronze,54
2000,Australia,Gold,60
2000,Australia,Silver,69
2000,Austria,Gold,3
2000,Austria,Silver,1
2000,Azerbaijan,Bronze,1
2000,Azerbaijan,Gold,2
2000,Bahamas,Gold,6
2000,Barbados,Bronze,1
2000,Belarus,Bronze,11
2000,Belarus,Gold,3
2000,Belarus,Silver,8
2000,Belgium,Bronze,4
2000,Belgium,Silver,3
2000,Brazil,Bronze,36
2000,Brazil,Silver,12
2000,Bulgaria,Bronze,2
2000,Bulgaria,Gold,5
2000,Bulgaria,Silver,6
2000,Cameroon,Gold,18
2000,Canada,Bronze,23
2000,Canada,Gold,4
2000,Canada,Silver,4
2000,Chile,Bronze,18
2000,China,Bronze,17
2000,China,Gold,39
2000,China,Silver,23
2000,Colombia,Gold,1
2000,Costa Rica,Bronze,2
2000,Croatia,Bronze,9
2000,Croatia,Gold,1
2000,Cuba,Bronze,12
2000,Cuba,Gold,22
2000,Cuba,Silver,35
2000,Czech Republic,Bronze,4
2000,Czech Republic,Gold,2
2000,Czech Republic,Silver,3
2000,Denmark,Bronze,4
2000,Denmark,Gold,18
2000,Denmark,Silver,3
2000,Estonia,Bronze,2
2000,Estonia,Gold,1
2000,Ethiopia,Bronze,3
2000,Ethiopia,Gold,4
2000,Ethiopia,Silver,1
2000,Finland,Bronze,1
2000,Finland,Gold,3
2000,Finland,Silver,1
2000,France,Bronze,14
2000,France,Gold,22
2000,France,Silver,30
2000,Georgia,Bronze,6
2000,Germany,Bronze,65
2000,Germany,Gold,31
2000,Germany,Silver,23
2000,Greece,Bronze,8
2000,Greece,Gold,4
2000,Greece,Silver,6
2000,Hungary,Bronze,4
2000,Hungary,Gold,25
2000,Hungary,Silver,24
2000,Iceland,Bronze,1
2000,India,Bronze,1
2000,Indonesia,Bronze,2
2000,Indonesia,Gold,2
2000,Indonesia,Silver,4
2000,Iran,Bronze,1
2000,Iran,Gold,3
2000,Ireland,Silver,1
2000,Israel,Bronze,1
2000,Italy,Bronze,29
2000,Italy,Gold,22
2000,Italy,Silver,14
2000,Jamaica,Bronze,9
2000,Jamaica,Silver,14
2000,Japan,Bronze,8
2000,Japan,Gold,5
2000,Japan,Silver,30
2000,Kazakhstan,Gold,3
2000,Kazakhstan,Silver,4
2000,Kenya,Bronze,2
2000,Kenya,Gold,2
2000,Kenya,Silver,3
2000,"Korea, North",Bronze,3
2000,"Korea, North",Silver,1
2000,"Korea, South",Bronze,35
2000,"Korea, South",Gold,12
2000,"Korea, South",Silver,26
2000,Kuwait,Bronze,1
2000,Kyrgyzstan,Bronze,1
2000,Latvia,Bronze,1
2000,Latvia,Gold,1
2000,Latvia,Silver,1
2000,Lithuania,Bronze,15
2000,Lithuania,Gold,2
2000,Macedonia,Bronze,1
2000,Mexico,Bronze,3
2000,Mexico,Gold,1
2000,Mexico,Silver,2
2000,Moldova,Bronze,1
2000,Moldova,Silver,1
2000,Morocco,Bronze,4
2000,Morocco,Silver,1
2000,Mozambique,Gold,1
2000,Netherlands,Bronze,23
2000,Netherlands,Gold,27
2000,Netherlands,Silver,29
2000,New Zealand,Bronze,3
2000,New Zealand,Gold,1
2000,Nigeria,Silver,8
2000,Norway,Bronze,19
2000,Norway,Gold,21
2000,Norway,Silver,4
2000,Poland,Bronze,7
2000,Poland,Gold,7
2000,Poland,Silver,10
2000,Portugal,Bronze,2
2000,Qatar,Bronze,1
2000,Romania,Bronze,13
2000,Romania,Gold,27
2000,Romania,Silver,6
2000,Russia,Bronze,54
2000,Russia,Gold,66
2000,Russia,Silver,68
2000,Saudi Arabia,Bronze,1
2000,Saudi Arabia,Silver,1
2000,Slovakia,Bronze,1
2000,Slovakia,Gold,2
2000,Slovakia,Silver,3
2000,Slovenia,Gold,3
2000,South Africa,Bronze,3
2000,South Africa,Silver,2
2000,Spain,Bronze,20
2000,Spain,Gold,3
2000,Spain,Silver,20
2000,Sri Lanka,Silver,1
2000,Sweden,Bronze,8
2000,Sweden,Gold,4
2000,Sweden,Silver,20
2000,Switzerland,Bronze,2
2000,Switzerland,Gold,1
2000,Switzerland,Silver,11
2000,Taiwan,Bronze,4
2000,Taiwan,Silver,1
2000,Thailand,Bronze,2
2000,Thailand,Gold,1
2000,Trinidad and Tobago,Bronze,1
2000,Trinidad and Tobago,Silver,1
2000,Turkey,Bronze,2
2000,Turkey,Gold,3
2000,Ukraine,Bronze,12
2000,Ukraine,Gold,3
2000,Ukraine,Silver,20
2000,United Kingdom,Bronze,13
2000,United Kingdom,Gold,22
2000,United Kingdom,Silver,20
2000,United States,Bronze,52
2000,United States,Gold,130
2000,United States,Silver,66
2000,Uruguay,Silver,1
2000,Uzbekistan,Bronze,2
2000,Uzbekistan,Gold,1
2000,Uzbekistan,Silver,1
2000,Vietnam,Silver,1
2000,Yugoslavia,Bronze,13
2000,Yugoslavia,Gold,12
2000,Yugoslavia,Silver,1
2004,Argentina,Bronze,21
2004,Argentina,Gold,26
2004,Australia,Bronze,30
2004,Australia,Gold,49
2004,Australia,Silver,78
2004,Austria,Bronze,1
2004,Austria,Gold,3
2004,Austria,Silver,4
2004,Azerbaijan,Bronze,4
2004,Azerbaijan,Gold,1
2004,Bahamas,Bronze,1
2004,Bahamas,Gold,1
2004,Belarus,Bronze,9
2004,Belarus,Gold,2
2004,Belarus,Silver,6
2004,Belgium,Bronze,2
2004,Belgium,Gold,1
2004,Brazil,Bronze,3
2004,Brazil,Gold,18
2004,Brazil,Silver,19
2004,Bulgaria,Bronze,14
2004,Bulgaria,Gold,2
2004,Bulgaria,Silver,1
2004,Cameroon,Gold,1
2004,Canada,Bronze,4
2004,Canada,Gold,3
2004,Canada,Silver,10
2004,Chile,Bronze,1
2004,Chile,Gold,3
2004,China,Bronze,15
2004,China,Gold,52
2004,China,Silver,27
2004,Colombia,Bronze,2
2004,Croatia,Bronze,3
2004,Croatia,Gold,14
2004,Croatia,Silver,3
2004,Cuba,Bronze,22
2004,Cuba,Gold,31
2004,Cuba,Silver,8
2004,Czech Republic,Bronze,5
2004,Czech Republic,Gold,1
2004,Czech Republic,Silver,6
2004,Denmark,Bronze,10
2004,Denmark,Gold,19
2004,Dominican Republic,Gold,1
2004,Egypt,Bronze,3
2004,Egypt,Gold,1
2004,Egypt,Silver,1
2004,Eritrea,Bronze,1
2004,Estonia,Bronze,2
2004,Estonia,Silver,1
2004,Ethiopia,Bronze,2
2004,Ethiopia,Gold,2
2004,Ethiopia,Silver,3
2004,Finland,Silver,2
2004,France,Bronze,22
2004,France,Gold,21
2004,France,Silver,10
2004,Georgia,Gold,2
2004,Georgia,Silver,2
2004,Germany,Bronze,63
2004,Germany,Gold,41
2004,Germany,Silver,45
2004,Greece,Bronze,5
2004,Greece,Gold,8
2004,Greece,Silver,18
2004,Hong Kong*,Silver,2
2004,Hungary,Bronze,4
2004,Hungary,Gold,24
2004,Hungary,Silver,12
2004,India,Silver,1
2004,Indonesia,Bronze,3
2004,Indonesia,Gold,1
2004,Indonesia,Silver,1
2004,Iran,Bronze,2
2004,Iran,Gold,2
2004,Iran,Silver,2
2004,Israel,Bronze,1
2004,Israel,Gold,1
2004,Italy,Bronze,39
2004,Italy,Gold,24
2004,Italy,Silver,39
2004,Jamaica,Bronze,6
2004,Jamaica,Gold,6
2004,Jamaica,Silver,1
2004,Japan,Bronze,53
2004,Japan,Gold,21
2004,Japan,Silver,20
2004,Kazakhstan,Bronze,3
2004,Kazakhstan,Gold,1
2004,Kazakhstan,Silver,4
2004,Kenya,Bronze,2
2004,Kenya,Gold,1
2004,Kenya,Silver,4
2004,"Korea, North",Bronze,1
2004,"Korea, North",Silver,4
2004,"Korea, South",Bronze,10
2004,"Korea, South",Gold,14
2004,"Korea, South",Silver,28
2004,Latvia,Silver,4
2004,Lithuania,Gold,1
2004,Lithuania,Silver,2
2004,Mexico,Bronze,1
2004,Mexico,Silver,3
2004,Mongolia,Bronze,1
2004,Morocco,Gold,2
2004,Morocco,Silver,1
2004,Netherlands,Bronze,22
2004,Netherlands,Gold,4
2004,Netherlands,Silver,50
2004,New Zealand,Gold,4
2004,New Zealand,Silver,2
2004,Nigeria,Bronze,8
2004,Norway,Bronze,2
2004,Norway,Gold,5
2004,Paraguay,Silver,17
2004,Poland,Bronze,6
2004,Poland,Gold,4
2004,Poland,Silver,2
2004,Portugal,Bronze,1
2004,Portugal,Silver,2
2004,Romania,Bronze,11
2004,Romania,Gold,23
2004,Romania,Silver,5
2004,Russia,Bronze,96
2004,Russia,Gold,47
2004,Russia,Silver,49
2004,Serbia,Silver,14
2004,Slovakia,Bronze,5
2004,Slovakia,Gold,3
2004,Slovakia,Silver,2
2004,Slovenia,Bronze,3
2004,Slovenia,Silver,2
2004,South Africa,Bronze,3
2004,South Africa,Gold,4
2004,South Africa,Silver,3
2004,Spain,Bronze,8
2004,Spain,Gold,4
2004,Spain,Silver,15
2004,Sweden,Bronze,2
2004,Sweden,Gold,5
2004,Sweden,Silver,5
2004,Switzerland,Bronze,4
2004,Switzerland,Gold,1
2004,Switzerland,Silver,2
2004,Syria,Bronze,1
2004,Taiwan,Bronze,3
2004,Taiwan,Gold,2
2004,Taiwan,Silver,4
2004,Thailand,Bronze,4
2004,Thailand,Gold,3
2004,Thailand,Silver,1
2004,Trinidad and Tobago,Bronze,1
2004,Turkey,Bronze,4
2004,Turkey,Gold,3
2004,Turkey,Silver,3
2004,Ukraine,Bronze,31
2004,Ukraine,Gold,9
2004,Ukraine,Silver,8
2004,United Arab Emirates,Gold,1
2004,United Kingdom,Bronze,15
2004,United Kingdom,Gold,17
2004,United Kingdom,Silver,25
2004,United States,Bronze,73
2004,United States,Gold,116
2004,United States,Silver,75
2004,Uzbekistan,Bronze,2
2004,Uzbekistan,Gold,2
2004,Uzbekistan,Silver,1
2004,Venezuela,Bronze,2
2004,Zimbabwe,Bronze,1
2004,Zimbabwe,Gold,1
2004,Zimbabwe,Silver,1
2008,Afghanistan,Bronze,1
2008,Algeria,Bronze,1
2008,Algeria,Silver,1
2008,Argentina,Bronze,31
2008,Argentina,Gold,20
2008,Armenia,Bronze,6
2008,Australia,Bronze,76
2008,Australia,Gold,31
2008,Australia,Silver,42
2008,Austria,Bronze,2
2008,Austria,Silver,1
2008,Azerbaijan,Bronze,4
2008,Azerbaijan,Gold,1
2008,Azerbaijan,Silver,2
2008,Bahamas,Bronze,1
2008,Bahamas,Silver,4
2008,Belarus,Bronze,17
2008,Belarus,Gold,8
2008,Belarus,Silver,5
2008,Belgium,Gold,1
2008,Belgium,Silver,4
2008,Brazil,Bronze,27
2008,Brazil,Gold,14
2008,Brazil,Silver,34
2008,Bulgaria,Bronze,3
2008,Bulgaria,Gold,1
2008,Bulgaria,Silver,1
2008,Cameroon,Gold,1
2008,Canada,Bronze,10
2008,Canada,Gold,11
2008,Canada,Silver,13
2008,Chile,Silver,1
2008,China,Bronze,57
2008,China,Gold,74
2008,China,Silver,53
2008,Colombia,Bronze,1
2008,Colombia,Silver,1
2008,Croatia,Bronze,3
2008,Croatia,Silver,2
2008,Cuba,Bronze,11
2008,Cuba,Gold,2
2008,Cuba,Silver,34
2008,Czech Republic,Gold,3
2008,Czech Republic,Silver,4
2008,Denmark,Bronze,6
2008,Denmark,Gold,6
2008,Denmark,Silver,6
2008,Dominican Republic,Gold,1
2008,Dominican Republic,Silver,1
2008,Ecuador,Silver,1
2008,Egypt,Bronze,1
2008,Estonia,Gold,1
2008,Estonia,Silver,2
2008,Ethiopia,Bronze,2
2008,Ethiopia,Gold,4
2008,Ethiopia,Silver,1
2008,Finland,Bronze,2
2008,Finland,Gold,1
2008,Finland,Silver,2
2008,France,Bronze,28
2008,France,Gold,25
2008,France,Silver,23
2008,Georgia,Bronze,3
2008,Georgia,Gold,3
2008,Germany,Bronze,43
2008,Germany,Gold,42
2008,Germany,Silver,16
2008,Greece,Bronze,4
2008,Greece,Silver,3
2008,Hungary,Bronze,3
2008,Hungary,Gold,16
2008,Hungary,Silver,8
2008,Iceland,Silver,14
2008,India,Bronze,2
2008,India,Gold,1
2008,Indonesia,Bronze,3
2008,Indonesia,Gold,2
2008,Indonesia,Silver,2
2008,Iran,Bronze,1
2008,Iran,Gold,1
2008,Ireland,Bronze,2
2008,Ireland,Silver,1
2008,Israel,Bronze,1
2008,Italy,Bronze,20
2008,Italy,Gold,8
2008,Italy,Silver,14
2008,Jamaica,Bronze,5
2008,Jamaica,Gold,9
2008,Jamaica,Silver,3
2008,Japan,Bronze,17
2008,Japan,Gold,23
2008,Japan,Silver,11
2008,Kazakhstan,Bronze,7
2008,Kazakhstan,Gold,2
2008,Kazakhstan,Silver,4
2008,Kenya,Bronze,4
2008,Kenya,Gold,6
2008,Kenya,Silver,4
2008,"Korea, North",Bronze,3
2008,"Korea, North",Gold,2
2008,"Korea, North",Silver,1
2008,"Korea, South",Bronze,26
2008,"Korea, South",Gold,41
2008,"Korea, South",Silver,11
2008,Kyrgyzstan,Bronze,1
2008,Kyrgyzstan,Silver,1
2008,Latvia,Bronze,1
2008,Latvia,Gold,1
2008,Latvia,Silver,1
2008,Lithuania,Bronze,3
2008,Lithuania,Silver,2
2008,Malaysia,Silver,1
2008,Mauritius,Bronze,1
2008,Mexico,Bronze,2
2008,Mexico,Gold,2
2008,Moldova,Bronze,1
2008,Mongolia,Gold,2
2008,Mongolia,Silver,2
2008,Morocco,Bronze,1
2008,Morocco,Silver,1
2008,Netherlands,Bronze,4
2008,Netherlands,Gold,40
2008,Netherlands,Silver,18
2008,New Zealand,Bronze,8
2008,New Zealand,Gold,4
2008,New Zealand,Silver,2
2008,Nigeria,Bronze,6
2008,Nigeria,Silver,18
2008,Norway,Bronze,1
2008,Norway,Gold,16
2008,Norway,Silver,5
2008,Panama,Gold,1
2008,Poland,Bronze,1
2008,Poland,Gold,6
2008,Poland,Silver,13
2008,Portugal,Gold,1
2008,Portugal,Silver,1
2008,Romania,Bronze,16
2008,Romania,Gold,5
2008,Romania,Silver,1
2008,Russia,Bronze,56
2008,Russia,Gold,43
2008,Russia,Silver,44
2008,Serbia,Bronze,14
2008,Serbia,Silver,1
2008,Singapore,Silver,3
2008,Slovakia,Bronze,1
2008,Slovakia,Gold,4
2008,Slovakia,Silver,5
2008,Slovenia,Bronze,2
2008,Slovenia,Gold,1
2008,Slovenia,Silver,2
2008,South Africa,Silver,1
2008,Spain,Bronze,16
2008,Spain,Gold,7
2008,Spain,Silver,48
2008,Sudan,Silver,1
2008,Sweden,Bronze,2
2008,Sweden,Silver,5
2008,Switzerland,Bronze,8
2008,Switzerland,Gold,3
2008,Taiwan,Bronze,4
2008,Tajikistan,Bronze,1
2008,Tajikistan,Silver,1
2008,Thailand,Gold,2
2008,Thailand,Silver,2
2008,Togo,Bronze,1
2008,Trinidad and Tobago,Silver,5
2008,Tunisia,Gold,1
2008,Turkey,Bronze,3
2008,Turkey,Gold,1
2008,Turkey,Silver,4
2008,Ukraine,Bronze,16
2008,Ukraine,Gold,10
2008,Ukraine,Silver,5
2008,United Kingdom,Bronze,21
2008,United Kingdom,Gold,31
2008,United Kingdom,Silver,25
2008,United States,Bronze,81
2008,United States,Gold,125
2008,United States,Silver,109
2008,Uzbekistan,Bronze,3
2008,Uzbekistan,Gold,1
2008,Uzbekistan,Silver,2
2008,Venezuela,Bronze,1
2008,Vietnam,Silver,1
2008,Zimbabwe,Gold,1
2008,Zimbabwe,Silver,3
